,root-Engineered-Wastewater-Industrial_wastewater-Agricultural_wastewater,root-Engineered-Wastewater-Industrial_wastewater-Mine_water,root-Engineered-Wastewater-Industrial_wastewater-Petrochemical,root-Engineered-Wastewater-Nutrient_removal-Dissolved_organics_(aerobic),root-Engineered-Wastewater-Nutrient_removal-Dissolved_organics_(anaerobic),root-Environmental-Aquatic-Freshwater-Groundwater,root-Environmental-Aquatic-Freshwater-Lake,root-Environmental-Aquatic-Marine-Coastal,root-Environmental-Aquatic-Marine-Cold_seeps,root-Environmental-Aquatic-Marine-Hydrothermal_vents,root-Environmental-Aquatic-Marine-Intertidal_zone,root-Environmental-Aquatic-Marine-Marginal_Sea,root-Environmental-Aquatic-Marine-Neritic_zone,root-Environmental-Aquatic-Marine-Oceanic,root-Environmental-Aquatic-Marine-Oil_contaminated_sediment,root-Environmental-Aquatic-Marine-Oil_seeps,root-Environmental-Aquatic-Marine-Pelagic,root-Environmental-Aquatic-Marine-Sediment,root-Environmental-Aquatic-Marine-Volcanic,root-Environmental-Aquatic-Marine-Wetlands,root-Environmental-Aquatic-Non_marine_Saline_and_Alkaline-Alkaline,root-Environmental-Aquatic-Non_marine_Saline_and_Alkaline-Hypersaline,root-Environmental-Aquatic-Non_marine_Saline_and_Alkaline-Salt_crystallizer_pond,root-Environmental-Aquatic-Thermal_springs-Sediment,root-Environmental-Terrestrial-Soil-Agricultural,root-Environmental-Terrestrial-Soil-Boreal_forest,root-Environmental-Terrestrial-Soil-Contaminated,root-Environmental-Terrestrial-Soil-Crop,root-Environmental-Terrestrial-Soil-Desert,root-Environmental-Terrestrial-Soil-Forest_soil,root-Environmental-Terrestrial-Soil-Grasslands,root-Environmental-Terrestrial-Soil-Loam,root-Environmental-Terrestrial-Soil-Permafrost,root-Environmental-Terrestrial-Soil-Sand,root-Environmental-Terrestrial-Soil-Tropical_rainforest,root-Environmental-Terrestrial-Soil-Uranium_contaminated,root-Environmental-Terrestrial-Soil-Wetlands,root-Host_associated-Human-Circulatory_system-Blood,root-Host_associated-Human-Digestive_system-Intestine,root-Host_associated-Human-Digestive_system-Large_intestine,root-Host_associated-Human-Digestive_system-Oral,root-Host_associated-Human-Lympathic_system-Lymph_nodes,root-Host_associated-Human-Reproductive_system-Female,root-Host_associated-Human-Reproductive_system-Vagina,root-Host_associated-Human-Respiratory_system-Nasopharyngeal,root-Host_associated-Human-Respiratory_system-Pulmonary_system,root-Host_associated-Mammals-Digestive_system-Fecal,root-Host_associated-Mammals-Digestive_system-Foregut,root-Host_associated-Mammals-Digestive_system-Large_intestine,root-Host_associated-Mammals-Digestive_system-Oral_cavity,root-Host_associated-Mammals-Digestive_system-Stomach,root-Host_associated-Plants-Phylloplane-Endophytes,root-Host_associated-Plants-Rhizoplane-Endophytes,root-Host_associated-Plants-Rhizosphere-Epiphytes,root-Host_associated-Plants-Rhizosphere-Forest_soil,root-Host_associated-Plants-Rhizosphere-Soil
ERR504450,2.3841858e-07,0.0,3.296137e-05,0.0,0.0,0.00013107061,0.0017430186,2.0861626e-05,0.0,2.9802322e-08,7.2419643e-06,1.1920929e-07,0.0,1.0937452e-05,0.0,0.0,0.0,0.0011872947,0.0,0.0,0.0,1.7881393e-07,2.9802322e-08,3.0696392e-06,4.3213367e-06,8.940697e-08,0.0,0.0,0.0,0.0,3.2782555e-07,0.0,2.3841858e-07,0.0,0.0,0.0,0.0,0.0,5.9604645e-08,1.7613173e-05,0.00029161572,0.0,5.9604645e-08,2.0563602e-06,1.4305115e-06,0.0,0.0006043017,0.0,8.940697e-08,0.0,0.0,2.9802322e-08,0.0,0.0,0.0,0.0
ERR503829,8.6426735e-07,0.0,1.2814999e-06,0.0,0.0,7.033348e-06,4.9561262e-05,4.4465065e-05,0.0,0.0,1.7106533e-05,8.940697e-08,0.0,7.897615e-06,0.0,0.0,0.0,0.00077211857,0.0,0.0,0.0,0.0,0.0,0.0,4.172325e-07,1.7881393e-07,0.0,0.0,0.0,6.854534e-07,0.00012272596,0.0,0.0,0.0,2.9802322e-08,0.0,0.0,0.0,0.0,3.6746264e-05,1.1026859e-05,0.0,2.3841858e-07,9.089708e-06,0.0025281906,1.3142824e-05,1.1652708e-05,0.0,0.0,0.0,2.9802322e-08,0.0,0.0,0.0,0.0,0.0
ERR503976,0.0,0.0,0.0,0.0,0.0,1.7881393e-07,7.5012445e-05,5.9604645e-08,0.0,0.0,7.1525574e-07,0.0,0.0,5.066395e-07,0.0,0.0,0.0,0.00015130639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0788441e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9604645e-08,3.784895e-06,0.00018244982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERR504486,2.3514032e-05,0.0,3.105402e-05,0.0,0.0,4.8458576e-05,0.00030183792,0.0008312166,2.9802322e-07,2.4437904e-06,0.000572443,1.1175871e-05,8.940697e-08,0.00025892258,4.1127205e-06,1.1920929e-07,0.0,0.012542725,8.940697e-08,1.0728836e-06,0.0,4.053116e-06,2.0861626e-07,0.000618428,2.7537346e-05,8.612871e-06,0.0,0.0,0.0,5.9604645e-08,1.7255545e-05,3.6150217e-05,2.1457672e-05,8.940697e-08,1.4305115e-06,9.23872e-07,1.1920929e-07,6.556511e-06,2.9802322e-06,0.010715306,0.111204445,1.7881393e-07,5.9604645e-08,1.6331673e-05,0.0026575625,8.970499e-06,0.0013655722,0.0,1.5497208e-06,1.4901161e-07,1.7881393e-07,1.9580126e-05,3.874302e-07,0.0,1.1920929e-07,1.090765e-05
ERR504457,0.0,0.0,2.682209e-06,0.0,0.0,3.2782555e-07,4.2915344e-06,5.9604645e-08,0.0,2.0861626e-07,3.3825636e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.5629997e-06,0.0,0.0,0.0,0.0,0.0,1.7881393e-07,0.00036254525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.34465e-07,0.00063601136,0.0,0.0,0.0,8.6426735e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.0861626e-07,0.0,0.0,0.0,1.1920929e-07
ERR504112,9.23872e-07,0.0,1.3709068e-06,0.0,0.0,5.3435564e-05,0.0014063418,2.2351742e-05,0.0,0.0,9.775162e-06,1.2516975e-06,0.0,7.82907e-05,1.1920929e-07,0.0,0.0,0.00037050247,0.0,0.0,0.0,3.784895e-06,1.7285347e-06,2.1517277e-05,0.0004401803,2.3841858e-06,0.0,2.9802322e-08,5.9604645e-08,8.046627e-07,2.321601e-05,3.4213066e-05,0.002328217,0.0,1.5497208e-06,5.9604645e-08,5.364418e-07,6.2584877e-07,8.940697e-08,0.00037524104,0.00014287233,5.9604645e-08,8.940697e-08,1.4364719e-05,1.4901161e-06,5.9604645e-08,0.0013184547,0.0,2.8908253e-05,0.0,7.1525574e-07,0.0,1.4901161e-07,0.0,0.0,2.6226044e-06
ERR503578,7.593632e-05,0.0,5.057454e-05,0.0,0.0,3.0130148e-05,6.997585e-05,0.009981871,8.940697e-08,0.0,0.00011050701,4.172325e-07,0.0,6.198883e-05,0.0,0.0,0.0,0.0010742843,0.0,0.0,0.0,0.0,8.940697e-08,6.2584877e-07,1.680851e-05,2.115965e-06,0.0,2.9802322e-07,0.0,3.0696392e-06,0.00013950467,2.9802322e-08,1.1920929e-07,0.0,7.1525574e-07,1.1920929e-07,0.0,8.940697e-08,3.8146973e-06,0.0027484596,0.00046357512,5.9604645e-08,1.7881393e-07,4.172325e-07,0.19748601,0.0003120005,0.00023204088,0.0,0.0,0.0,1.1920929e-07,0.0,1.66893e-06,0.0,2.682209e-07,0.0
ERR504205,2.682209e-07,0.0,1.3560057e-05,0.0,0.0,3.835559e-05,0.00024420023,1.6093254e-05,0.0,1.4901161e-07,1.6510487e-05,5.9604645e-08,0.0,1.5556812e-05,2.9802322e-08,0.0,0.0,0.0012668669,0.0,0.0,0.0,5.9604645e-08,0.0,3.1292439e-06,2.592802e-06,0.0,0.0,0.0,0.0,0.0,1.4007092e-06,0.0,5.9604645e-08,0.0,0.0,0.0,0.0,1.7881393e-07,8.940697e-08,0.00013229251,0.008350104,0.0,3.2782555e-07,1.4543533e-05,0.00019335747,1.7881393e-07,0.00023564696,0.0,1.1920929e-07,0.0,0.0,1.7881393e-07,0.0,0.0,0.0,8.940697e-08
ERR503356,0.0,0.0,1.4603138e-06,0.0,0.0,1.0430813e-06,0.0009624958,1.4305115e-06,0.0,2.9802322e-08,2.3841858e-07,0.0,0.0,5.9604645e-08,0.0,0.0,0.0,3.4064054e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.9802322e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7881393e-07,1.30832195e-05,0.0,0.0,2.9802322e-07,4.1127205e-06,0.0,4.172325e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERR503387,4.196167e-05,0.0,3.3408403e-05,0.0,0.0,0.00023913383,4.4971704e-05,0.00037491322,0.0,0.0,3.3438206e-05,2.0861626e-07,0.0,5.1647425e-05,0.0,0.0,0.0,0.006700963,0.0,0.0,0.0,0.0,1.1920929e-07,1.937151e-06,1.9222498e-05,1.1920929e-07,0.0,0.0,0.0,1.1324883e-06,0.00034803152,4.4703484e-07,3.5762787e-07,0.0,1.4901161e-07,2.9802322e-08,0.0,0.0,8.940697e-08,3.257394e-05,2.104044e-05,0.0,2.9802322e-08,2.682209e-07,0.0015468895,5.1259995e-06,2.3633242e-05,0.0,0.0,0.0,0.0,0.0,8.940697e-08,0.0,0.0,1.1920929e-07
