,Foot,Hand,Nose,Skin
ERR503300,0.17292875,0.6039827,0.008237511,0.2447415
ERR503804,0.87163955,0.06506047,6.300211e-05,0.07194507
ERR503639,0.18468341,0.064564556,0.7428872,0.005243242
ERR503133,0.013468683,0.002154231,0.98621213,0.0060067177
ERR503645,0.33972847,0.11833319,0.4459543,0.025072068
ERR502998,0.10797545,0.61526203,0.06790215,0.01710549
ERR504067,0.06020686,0.8984318,0.02979219,0.076214045
ERR503555,0.3081757,0.03693691,0.44145948,0.0020293593
ERR503134,0.21270588,0.57378566,0.009452254,0.2376914
ERR503693,0.030845523,0.2615483,0.7122856,0.008692801
ERR503471,0.46713775,0.16478828,0.2563535,0.039448142
ERR503010,0.5100017,0.2644987,0.022166848,0.23487812
ERR503148,0.0036198497,0.0015226305,0.99920815,5.7190657e-05
ERR504143,0.86010647,0.07426676,0.00016725063,0.1079258
ERR504192,0.0005019605,0.029695362,0.9969059,0.00012895465
ERR503199,0.00014850497,0.09369287,0.9086508,0.004377693
ERR503438,0.36105636,0.12163481,0.42198306,0.026814908
ERR504345,0.12395632,0.13524935,0.6083324,0.024903983
ERR503088,0.2500127,0.495445,0.058185875,0.15830916
ERR503216,0.8629609,0.07508457,0.00011539459,0.079775214
ERR503101,0.33266675,0.37966526,0.15464067,0.0032571852
ERR503560,1.0192394e-05,4.172325e-05,0.9999985,5.9604645e-08
ERR503025,0.05377534,0.13448158,0.7463952,0.01266858
ERR503836,0.23987532,0.36685693,0.19291395,0.09990844
ERR503332,0.20121863,0.25506613,0.36377645,0.040148944
ERR504339,0.26149738,0.1859943,0.3936871,0.039423317
ERR503022,0.33643454,0.35554814,0.12779573,0.09397507
ERR503831,0.5127235,0.38401568,0.007386267,0.07445735
ERR503754,0.008585662,0.0025043786,0.99729204,0.0002310276
ERR504171,0.0002180934,0.065236986,0.9966013,0.000114411116
ERR504510,0.06749758,0.064463615,0.8214115,0.012831628
ERR504055,0.72925377,0.13794318,0.11165357,0.009282082
ERR503398,0.11150643,0.53852254,0.17141417,0.12192476
ERR503728,0.054564536,0.8376434,0.03750372,0.18346828
ERR503211,9.983778e-06,8.1300735e-05,0.99999774,1.1920929e-07
ERR503915,0.09638822,0.13032532,0.671305,0.01756224
ERR504497,0.13256726,0.13700879,0.5834207,0.03210482
ERR503263,0.029938161,0.006397575,0.98040545,0.0026060939
ERR503396,0.0016507506,0.08557528,0.9839045,0.00041633844
ERR503892,0.0,0.00024029613,0.04667312,0.0020316541
ERR503081,0.47458214,0.3577844,0.0028011203,0.14403182
ERR503108,0.65563834,0.34518242,0.0083942115,0.026068985
ERR503569,3.2782555e-07,1.4901161e-06,1.0,0.0
ERR504562,0.020633876,0.003905505,0.99498975,0.00016865134
ERR503057,0.8042341,0.19856256,0.00011751056,0.036189467
ERR503340,0.0014991164,0.0007145405,0.99969584,3.0517578e-05
ERR502972,0.7039617,0.3043756,5.8621168e-05,0.027950436
